#trace82	trace84	trace86	trace88
-141.61743	-107.64101	-64.382591	-104.19828
-150.26035	-100.1179	-63.113449	-100.39531
-149.29379	-89.815193	-63.542385	-96.757088
-140.87024	-78.912376	-64.269653	-92.520523
-129.1488	-70.749428	-62.490147	-86.541389
-119.52312	-69.087883	-58.565395	-76.789688
-114.30751	-74.890358	-57.974129	-64.931572
-110.33361	-84.141335	-65.392853	-56.45895
-104.92625	-91.251999	-78.772255	-54.68272
-97.588577	-93.54422	-90.008789	-57.682743
-89.366188	-90.821793	-93.525764	-60.182335
-83.457458	-84.518967	-93.337944	-61.738258
-82.861015	-77.090286	-95.390686	-70.749573
-89.70903	-71.997353	-98.072197	-90.892494
-101.96188	-73.308517	-96.528404	-109.4955
-111.2862	-79.774254	-91.3153	-112.19003
-112.53429	-85.628593	-85.880333	-100.97731
-110.27179	-90.662308	-80.214867	-87.837463
-112.31439	-99.659592	-74.739975	-79.736656
-119.6218	-113.34773	-72.594788	-75.375168
-125.45248	-125.86276	-72.950241	-70.688759
-125.0298	-130.15239	-71.545456	-64.927193
-120.63436	-124.59682	-69.335739	-61.624161
-116.82326	-113.73207	-70.003342	-65.19381
-114.45272	-102.66437	-71.654221	-76.151497
-110.72639	-93.274696	-68.772789	-87.59359
-103.9351	-84.825905	-60.837242	-91.102119
-96.976151	-77.193489	-54.220985	-85.521561
-95.483299	-70.977303	-53.981415	-76.383102
-102.16374	-65.693687	-59.844563	-70.495323
-113.17905	-60.904778	-68.957581	-72.262543
-121.80396	-57.127213	-79.393501	-79.870644
-126.56171	-54.015831	-91.00486	-85.30938
-131.14499	-50.037338	-100.69053	-84.039192
-138.30656	-45.107903	-101.97281	-79.68087
-145.88835	-41.948715	-93.435616	-76.384132
-146.97485	-44.190395	-82.00338	-73.827271
-138.26942	-53.338604	-73.8536	-70.732826
-124.48273	-66.20993	-68.086426	-68.016937
-111.92564	-75.723709	-61.240273	-66.538162
-103.12051	-77.686661	-53.997864	-66.377144
-97.467659	-74.458717	-50.408894	-68.815582
-95.406311	-70.856018	-52.063778	-75.729965
-101.05721	-69.610268	-57.402428	-87.667809
-115.97087	-69.88472	-63.5965	-100.51646
-132.04108	-68.230484	-66.51223	-108.53784
-137.85086	-62.978466	-63.295498	-111.98962
-130.95795	-56.437668	-55.369404	-112.85276
-118.91294	-51.142231	-45.091156	-108.52671
-109.3026	-48.368416	-33.891266	-98.452194
-104.07713	-49.249302	-25.095879	-88.397339
-100.66499	-52.513618	-22.956083	-85.569756
-96.523331	-57.002411	-29.925289	-93.176529
-94.226494	-63.346603	-45.456219	-106.25824
-97.650787	-69.005844	-64.163551	-113.87583
-103.34057	-70.977379	-77.377106	-108.53823
-104.30475	-70.855751	-80.977432	-93.301521
-100.20049	-70.697777	-78.348267	-78.333008
-96.077759	-70.105247	-73.794075	-69.98893
-93.467659	-71.060944	-68.149597	-69.692009
-88.849289	-76.956024	-61.50671	-80.007759
-80.628105	-84.994087	-55.618351	-98.761482
-71.576668	-90.174576	-52.851925	-115.62405
-64.358597	-93.723114	-55.182827	-122.89847
-58.744045	-98.560234	-62.595184	-123.26415
-54.452721	-103.8739	-71.298859	-126.06588
-54.164284	-107.72115	-77.55349	-137.34785
-60.270462	-108.4579	-81.269348	-151.79799
-69.611267	-105.03338	-83.662613	-159.839
-76.967247	-98.283173	-85.57592	-161.21344
-81.856918	-91.310997	-89.021233	-160.89314
-85.325195	-89.754379	-95.909019	-159.60364
-84.74334	-97.025154	-106.74484	-156.86925
-80.021881	-106.31819	-120.47881	-155.46721
-77.162331	-107.25147	-132.26813	-159.6778
-78.945541	-101.06645	-135.5394	-169.25792
-80.50457	-98.615997	-128.14291	-177.97559
-76.097992	-104.74756	-116.48504	-182.61452
-67.357246	-112.78694	-109.38364	-184.8582
-61.999611	-115.94646	-108.45128	-185.62175
-62.351795	-115.11765	-111.08993	-186.47153
-62.663769	-111.21959	-113.8957	-186.60097
-60.614998	-104.11121	-112.6683	-180.03928
-61.737064	-99.426331	-109.09169	-165.87637
-69.977905	-102.74527	-108.52135	-149.46451
-81.120819	-112.10648	-111.80058	-135.05699
-88.025391	-123.61855	-116.30849	-125.84364
-87.710106	-134.18837	-118.83533	-122.06879
-83.840637	-137.68063	-118.91916	-119.56893
-82.348572	-130.61105	-121.26717	-115.85329
-83.709953	-117.88586	-127.58798	-112.35072
-83.401115	-107.17324	-128.91473	-108.76424
-80.243126	-102.13971	-117.36737	-103.16422
-77.257538	-100.30096	-100.25893	-97.508591
-75.073578	-96.047241	-92.513603	-96.095825
-70.89637	-88.62413	-100.18385	-100.9185
-64.063179	-83.426163	-116.40923	-109.57731
-58.715649	-83.522835	-131.44937	-116.01164
-61.010078	-85.714378	-141.67352	-115.76528
-73.91713	-85.693802	-146.95694	-109.87903
-93.440948	-82.555069	-144.74036	-102.48798
-111.61424	-77.357338	-132.66847	-97.780121
-122.80856	-71.625114	-114.4136	-97.419853
-124.85974	-67.612137	-97.883156	-98.550301
-119.04623	-64.905739	-88.479004	-97.121811
-111.5085	-60.119701	-84.301437	-91.315025
-109.12497	-54.014698	-81.124451	-82.299706
-110.77616	-52.928982	-80.042587	-75.2752
-109.26676	-60.839504	-81.555069	-76.022148
-102.843	-74.087433	-81.095261	-83.743805
-96.664268	-85.604012	-77.762901	-90.341766
-94.584	-91.390045	-76.298294	-90.708145
-96.232086	-92.649734	-80.210457	-89.016136
-99.594208	-93.297676	-88.16552	-89.949669
-100.95081	-96.456573	-94.988945	-90.484108
-97.768303	-102.27895	-96.798698	-85.500336
-93.755516	-108.94272	-95.222092	-76.761742
-92.96843	-116.19061	-95.408211	-70.760338
-92.796799	-125.14962	-99.507523	-70.576012
-90.696327	-133.44756	-104.29303	-73.43882
-88.631653	-135.13045	-104.5879	-76.415543
-86.511177	-129.39952	-96.98381	-80.274231
-82.31282	-122.67327	-84.979378	-85.547012
-78.780678	-118.83954	-77.443573	-89.718712
-82.556725	-114.95058	-77.360504	-89.867607
-95.860985	-106.93771	-80.649551	-86.719574
-111.51142	-94.763039	-83.92923	-83.927773
-120.95237	-82.748138	-84.445908	-82.484016
-125.56351	-77.077583	-79.80497	-79.128395
-130.58139	-80.577354	-72.07531	-72.734238
-134.66327	-88.571724	-67.159454	-67.787323
-134.51181	-92.209488	-67.606552	-68.212936
-130.61929	-88.170715	-68.9897	-72.050407
-126.11259	-82.042877	-66.690353	-74.730789
-127.51985	-79.211029	-61.410114	-73.312073
-139.17369	-79.618462	-56.307915	-67.68145
-154.64487	-81.261536	-54.303326	-60.188942
-163.68689	-83.094269	-58.303066	-53.790623
-162.9799	-86.309845	-70.464096	-49.489841
-157.14066	-91.909966	-87.104103	-45.93425
-153.80844	-98.074005	-98.510628	-41.605553
-155.41238	-101.80293	-98.144623	-36.017075
-156.67838	-100.60072	-88.129585	-29.767023
-152.61096	-95.179214	-76.531059	-25.436199
-144.29648	-90.315521	-71.358887	-25.839096
-134.55371	-88.508965	-74.531784	-30.193184
-124.44084	-86.440407	-79.815468	-36.554028
-114.03149	-81.007759	-79.967766	-43.702694
-104.33134	-73.179817	-75.720879	-48.619373
-98.672974	-65.777771	-72.279495	-48.050575
-97.862061	-64.047623	-69.574295	-41.961117
-99.270416	-72.63665	-64.607994	-34.403896
-101.22575	-87.229546	-58.883503	-30.968439
-101.42089	-97.421516	-55.788361	-33.877457
-97.580536	-96.718956	-54.851879	-40.172417
-91.000603	-87.455879	-52.655884	-46.05698
-84.580566	-78.362709	-48.141304	-50.059589
-78.287621	-75.255157	-44.273956	-50.178219
-72.485405	-76.459869	-43.697552	-46.156593
-72.981224	-77.752136	-47.25301	-42.469414
-82.260124	-76.268417	-55.588966	-42.114796
-93.440453	-70.778305	-66.44899	-43.103447
-101.19997	-62.737171	-74.736504	-44.424397
-106.48652	-55.235291	-78.252151	-47.34692
-108.48721	-49.791626	-79.136528	-50.006161
-103.70382	-45.104393	-79.509499	-48.959835
-92.417816	-39.533466	-78.130623	-45.011242
-78.97364	-34.04681	-72.114494	-42.442524
