#trace90	trace92	trace94
14.837041	44.087757	19.359781
8.8838711	43.855549	19.414122
5.5274911	42.044769	22.27072
4.4661427	39.309319	26.063732
3.8737242	36.352852	27.981417
4.9277887	34.042023	26.694487
9.7614508	33.780457	23.565563
16.839499	36.041653	20.620253
22.157631	38.797367	18.742556
24.391417	40.294575	17.239244
25.082001	41.050507	14.213982
25.595694	41.305279	9.1033697
27.101532	40.091038	4.4969473
30.203323	36.982521	2.770412
32.992279	32.651566	1.288777
32.52541	29.039516	-4.0760636
27.76823	28.638346	-11.064228
19.354847	32.14463	-12.590124
9.4235764	37.289593	-7.8606324
0.9948926	40.209423	-5.251369
-4.1860032	39.523224	-9.8535957
-7.0325837	38.265926	-15.938365
-11.344455	39.255257	-15.778202
-17.442238	41.151237	-9.4614372
-18.960516	41.287075	-2.72838
-12.410886	38.005589	1.3204614
-2.254292	30.899275	3.4085424
6.3922586	23.002146	3.2651184
11.772085	18.707989	-0.20657246
13.349703	18.949484	-4.445765
12.274617	21.519323	-4.3255367
12.09686	23.929819	1.3279403
15.632612	25.720844	9.6377783
22.064913	27.743252	18.08816
28.257015	29.106968	25.031904
31.983377	28.018883	28.974295
33.208767	25.637239	29.703983
32.582516	25.523308	28.487471
30.487772	28.572399	26.547995
27.475191	31.558548	24.241571
24.947439	31.437292	21.599592
25.21994	28.972612	19.005087
28.571085	26.072878	15.926208
32.608513	22.499216	11.116749
35.432693	17.196201	5.5710011
35.583866	10.687955	2.3455539
31.714785	5.6742754	2.9527645
26.067837	5.3229036	5.8540759
23.120661	9.8807697	8.8206968
23.215254	16.260332	11.485421
22.643211	20.928442	14.584048
20.372663	22.498007	18.047052
19.968672	22.534266	21.479141
22.916983	23.868719	25.377426
25.621969	27.533007	30.154375
25.320845	32.133682	34.824001
23.340668	35.975227	37.784626
22.230946	38.303284	38.574123
23.03499	39.026058	38.316772
24.901121	37.840157	38.026531
25.819788	32.841618	36.736137
23.810276	21.20643	33.177132
17.819328	4.6463957	28.812786
9.2988119	-8.180028	26.314447
1.6087099	-10.247678	25.264204
-3.6640682	-3.15446	22.554756
-5.5411305	7.3846974	17.693134
-3.0249383	17.79953	13.22968
1.7903225	26.324259	10.88824
5.4431891	31.55158	10.001284
6.9787359	33.541885	8.0104446
7.6394858	34.491535	3.4577014
7.5310917	37.164501	-0.62445253
5.183641	42.041416	0.55694461
1.3444302	47.209934	6.0079165
-1.2366664	50.56797	8.8272591
-3.1403029	51.371754	4.7614636
-7.9958844	50.071945	-3.3662772
-15.202152	47.677986	-9.5113525
-19.858631	45.633083	-10.240982
-21.366299	44.868027	-6.6612897
-23.99604	45.363018	-1.155668
-28.297129	46.192219	5.1085491
-29.830462	46.180851	11.168367
-25.727949	45.146214	16.662594
-16.35586	43.590378	21.944712
-4.4155221	42.318062	26.524855
6.2116337	42.361599	29.674706
13.684893	43.48254	31.641283
18.85243	43.039848	32.983078
22.34618	38.207443	33.743382
22.89443	29.191242	34.005806
19.056892	19.491392	34.387012
12.787972	13.946573	35.833195
8.6621122	14.989844	38.415833
8.9024611	19.878023	40.690464
11.96209	24.217081	41.306377
15.200971	27.103357	39.603836
17.339117	29.487425	35.92794
18.363321	30.705723	32.29715
17.984844	30.507357	30.754755
16.533907	30.437269	31.94379
15.020241	31.920673	35.530193
13.026204	35.328259	40.175194
9.1560125	39.796234	43.749527
3.6415925	42.893211	45.358101
-1.4615997	41.491096	45.282124
